ID_MN_RESI;Municipio;Estado;População_estimada
410010;ABATIA;PARANA;7271
410020;ADRIANOPOLIS;PARANA;6327
410030;AGUDOS DO SUL;PARANA;10646
410040;ALMIRANTE TAMANDARE;PARANA;124788
410045;ALTAMIRA DO PARANA;PARANA;3543
410050;ALTONIA;PARANA;18750
410060;ALTO PARANA;PARANA;14138
410070;ALTO PIQUIRI;PARANA;9802
410080;ALVORADA DO SUL;PARANA;10478
410090;AMAPORA;PARANA;4736
410100;AMPERE;PARANA;20199
410105;ANAHY;PARANA;2965
410110;ANDIRA;PARANA;20044
410115;ANGULO;PARANA;3332
410120;ANTONINA;PARANA;18223
410130;ANTONIO OLINTO;PARANA;7071
410140;APUCARANA;PARANA;134306
410150;ARAPONGAS;PARANA;123863
410160;ARAPOTI;PARANA;26310
410165;ARAPUA;PARANA;3573
410170;ARARUNA;PARANA;14824
410180;ARAUCARIA;PARANA;160038
410185;ARIRANHA DO IVAI;PARANA;2351
410190;ASSAI;PARANA;13643
410200;ASSIS CHATEAUBRIAND;PARANA;38105
410210;ASTORGA;PARANA;26145
410220;ATALAIA;PARANA;4045
410230;BALSA NOVA;PARANA;13871
410240;BANDEIRANTES;PARANA;31807
410250;BARBOSA FERRAZ;PARANA;10692
410260;BARRACAO;PARANA;9900
410270;BARRA DO JACARE;PARANA;2866
410275;BELA VISTA DA CAROBA;PARANA;4100
410280;BELA VISTA DO PARAISO;PARANA;14998
410290;BITURUNA;PARANA;15689
410300;BOA ESPERANCA;PARANA;4622
410302;BOA ESPERANCA DO IGUACU;PARANA;2448
410304;BOA VENTURA DE SAO ROQUE;PARANA;6244
410305;BOA VISTA DA APARECIDA;PARANA;8034
410310;BOCAIUVA DO SUL;PARANA;13804
410315;BOM JESUS DO SUL;PARANA;4061
410320;BOM SUCESSO;PARANA;6677
410322;BOM SUCESSO DO SUL;PARANA;3234
410330;BORRAZOPOLIS;PARANA;7824
410335;BRAGANEY;PARANA;4802
410337;BRASILANDIA DO SUL;PARANA;3828
410340;CAFEARA;PARANA;2655
410345;CAFELANDIA;PARANA;19844
410347;CAFEZAL DO SUL;PARANA;4561
410350;CALIFORNIA;PARANA;8921
410360;CAMBARA;PARANA;23430
410370;CAMBE;PARANA;111009
410380;CAMBIRA;PARANA;9899
410390;CAMPINA DA LAGOA;PARANA;15979
410395;CAMPINA DO SIMAO;PARANA;3973
410400;CAMPINA GRANDE DO SUL;PARANA;49971
410405;CAMPO BONITO;PARANA;4032
410410;CAMPO DO TENENTE;PARANA;7666
410420;CAMPO LARGO;PARANA;142695
410425;CAMPO MAGRO;PARANA;31555
410430;CAMPO MOURAO;PARANA;103340
410440;CANDIDO DE ABREU;PARANA;15255
410442;CANDOI;PARANA;15174
410445;CANTAGALO;PARANA;10799
410450;CAPANEMA;PARANA;21022
410460;CAPITAO LEONIDAS MARQUES;PARANA;14796
410465;CARAMBEI;PARANA;24159
410470;CARLOPOLIS;PARANA;17567
410480;CASCAVEL;PARANA;364104
410490;CASTRO;PARANA;75291
410500;CATANDUVAS;PARANA;10627
410510;CENTENARIO DO SUL;PARANA;10936
410520;CERRO AZUL;PARANA;16240
410530;CEU AZUL;PARANA;11251
410540;CHOPINZINHO;PARANA;21559
410550;CIANORTE;PARANA;82359
410560;CIDADE GAUCHA;PARANA;11684
410570;CLEVELANDIA;PARANA;14975
410580;COLOMBO;PARANA;240720
410590;COLORADO;PARANA;23278
410600;CONGONHINHAS;PARANA;8442
410610;CONSELHEIRO MAIRINCK;PARANA;3486
410620;CONTENDA;PARANA;19827
410630;CORBELIA;PARANA;17862
410640;CORNELIO PROCOPIO;PARANA;45830
410645;CORONEL DOMINGOS SOARES;PARANA;5516
410650;CORONEL VIVIDA;PARANA;23859
410655;CORUMBATAI DO SUL;PARANA;3780
410657;CRUZEIRO DO IGUACU;PARANA;4171
410660;CRUZEIRO DO OESTE;PARANA;24622
410670;CRUZEIRO DO SUL;PARANA;4547
410680;CRUZ MACHADO;PARANA;15910
410685;CRUZMALTINA;PARANA;2896
410690;CURITIBA;PARANA;1829225
410700;CURIUVA;PARANA;13802
410710;DIAMANTE DO NORTE;PARANA;5164
410712;DIAMANTE DO SUL;PARANA;3170
410715;DIAMANTE D'OESTE;PARANA;4557
